"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26331224207.86","33218848621.98","47962990763.1604","63579897946.9927","85992779309.2457","111121830657.831","125459289713.989","138204000000","149929495789.855","152542429759.943","161642607456.21","171165920815","","","","","","","","",
"Africa Western and Central","AFW","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","697819994.9","4795792535","18791423077","53070721404","126061000000","167407000000","244916000000","310041000000","364410000000","542953000000","664862000000","713857000000","877330000000","1030280000000","1154830000000","1318901939422.4","1390010460029.39","1396907217147.44","1507072905711.22","1441335859954.46","1990245689409.92","3182475284616.85","2085697970157.71","2368324926216.81","2713530028322.39","3182475284616.85","",
"Albania","ALB","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8206000000","9518736000","","12316653000","","","","46345230547.68","45557440000","49893913740","","","","","","","79629110000","82423280000","83479890000","84615310000","85802590000","81362230000","88027660000","89603060000","93528830000","94731730000","103488320000","104182960000","123450980000","138365270000","",
"Andorra","AND","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157956815.09","176184783.77","167988007.35","171598170.795","179982990.24","201999845.39","219059318.85","",
"Arab World","ARB","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6458000000","6695000000","6922000000","","","","","","","","","","","","15761728475.91","18168123029.86","18519320611","19762121291.63","20683496009.38","20393023866.58","21467170810.87","21859507917.95","22534542664.08","23152102716.51","21870662261.59","21613433691.3401","23264361709.14","23969922176.24","",
"Argentina","ARG","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710700000","5121300000","5358300000","5669800000","6392400000","6901500000","6769200000","7216500000","6777300000","7158100000","7029900000","6501100000","6977800000","8702628374.31","9419941757.22","","","","","","","","","","144827200000","196094000000","267819400000","330064800000","403685800000","552193279360.57","708116815427.59","1109857083727.23","2072591284786.16","5219329539058.22","13072095861925.6","",
