"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129.561308173064","147.572228353187","137.836075865534","123.533609108603","112.935447361027","91.2883843592771","140.144695680549","107.434671115647","85.5869249549066","","","153.171735347417","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19992903149412","6.0031137152975","6.84994062810567","6.58923592214199","5.51239996939339","","","","","","","","13.2617447709501","28.8086564424566","14.418091073371","11.4876452770918","13.9711595800276","9.87049757711835","","16.420760081283","11.9540144505389","11.5928131387433","","","","7.77773774146428","9.81693691901654","9.39758943545694","9.55018805001666","","","",
"Angola","AGO","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0639532694106","34.2606511872582","33.9196249808848","44.5766485630859","46.7335770399937","47.631853204901","47.4250741533519","47.7768083887267","45.2893508657438","131.846754520927","149.243030082059","146.805700294127","131.739551341459","153.698730152178","143.619589053909","",
"United Arab Emirates","ARE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.9325845283505","34.02944156019","54.5239203764302","42.7283713396841","25.4083602854768","25.7967428289385","44.0210976511191","47.4422005722883","51.2795637409146","55.8562273946487","57.5418997990357","52.5189378966808","56.880357829535","82.5485466048425","131.393728182834","170.816665223741","190.227205289085","190.859117789375","",
"Argentina","ARG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","1.46615945213704","2.01618307326283","6.23785519620051","5.13877487432074","1.77463909074415","1.15399003873071","1.33323899671592","1.00132530320242","2.30948316016965","1.50268664120952","1.30329791552911","2.01161263434688","4.17314539897488","2.55764564009885","9.82484795783127","8.14021686050481","18.6090186924623","14.3206960845246","14.6430739627972","16.421969889739","20.2322107225661","15.1640961270053","19.6977246995835","16.1290412248255","12.4244152562322","16.9569392155608","27.4280508755432","24.6534557360052","23.946359886693","22.0333391526542","19.8483841980828","11.0218432201051","13.7381863641294","15.0863203529933","8.22014945932331","6.27396625321678","9.61999483859266","11.4269032684242","9.43836863309546","11.4076106061133","16.8948497510525","8.76225361679707","8.79801852253825","8.36065160246713","8.58081622666602","8.35147499068672","","","",
"Armenia","ARM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383771292314693","0.403545249598453","0.213183377396629","0.212696839421871","1.29484672225421","1.15740596145323","18.6746236710281","",
"American Samoa","ASM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","28.8282612707382","39.7258912688698","30.6966087160262","21.3694594310536","30.438783108747","25.7752709713613","32.8429424887759","65.2957613825527","81.3544715107337","58.209976888041","46.7433343864388","34.6125382630607","44.3674388028199","41.4602030441994","65.413672594684","67.703640200006","66.5043721078778","77.737927396733","67.7860928191049","82.1578641809529","109.603633788771","89.4201476206573","98.6251367659164","95.8757712794895","124.975073184709","126.112486727805","115.384839656813","146.171231823551","151.565443611327","64.61076994888","135.432627661516","126.195790298749","85.405471522459","89.3185156366129","86.2490256648578","87.3891932530615","87.4910333564071","104.696759321256","113.342362733756","88.1139234839412","106.382445195033","129.041410738388","120.939358825633","99.0295271142089","103.129214204538","98.8664833716782","",
"Austria","AUT","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","3.25798256514262","3.50544553946975","2.90188536199451","28.2311331130921","2.82463696947263","2.39303873764021","2.23815657435201","2.12642630457832","2.12720114623881","2.19390241496117","6.65783153537675","6.74758013317431","6.41861718271525","7.55197797128411","18.2996952650129","15.8733080980834","13.997699227654","10.1638053572468","13.8361981188183","14.215276224508","12.7522213731728","13.5258533021101","17.3905266962709","1.19786379016815","15.258605467431","15.2589335726408","12.8281292302235","15.7764367366494","21.6743944726516","29.3359678138249","40.2135811811776","57.7319131527299","61.1356607274506","17.7732027443837","28.5697202695265","32.3301630837915","19.8784423232203","26.0692447167614","27.5848073777544","22.0702317031415","25.3142847952661","30.7291374574845","36.3067004353975","25.8079030703192","30.0458543542059","30.406072576452","33.9022442534773","26.0022108616596","26.8320888102517","22.5848776685147","",
"Azerbaijan","AZE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683704005115387","0.0702865158538847","","","","","","","","","","","","","","","","","","","","4.51253660120982","3.35973110345958","2.90985502643686","1.86274218553481","2.17767956052381","2.20049866626562","",
"Burundi","BDI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","13.703331537762","13.2183050731202","12.4231551726462","12.3531744447018","11.8078717809445","7.91070270181492","7.99119500048494","9.30027022320066","12.3634846355841","14.8075699724165","24.1935203009321","31.1091462059267","27.8779451273693","36.2208100160696","45.5946768281562","31.8748029245932","33.7814176929167","27.3040500958906","34.6987837801853","34.3529693715915","35.2129442959279","42.5506304275899","54.1867499789158","94.3949898677607","71.3024403938895","77.0634840987753","70.0509832498738","49.3671271351809","54.5621354353657","74.0077279672413","74.7912935279234","97.0381826331265","81.8719049070703","32.323460470183","53.5589278420989","55.8036882326585","43.4981615330493","60.0940023133312","71.4229562471315","70.3595988523225","89.9167302576445","79.7315946747612","87.3998522006743","59.1725980275377","","","","","","","",
"Benin","BEN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39930269483832","3.02025598095213","5.07704996083504","15.8952432273629","5.74225240190444","4.06033387402894","3.04578241191292","4.10752995306577","1.81195893415529","27.2129921496854","","","4.74928024229449","5.36286721925589","10.9691992958956","12.7907617406419","20.4234180941606","36.1020820041211","37.0892339567701","","34.1059370512267","39.5969990649654","33.5567501494932","26.5508730809515","29.3392000067805","24.0819788267218","18.3401778158872","24.0049718864107","26.2482228968323","25.0428850552811","25.5037744630994","19.537401350526","",
