"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5952943918.98","6702036585.18","8070694888.4844","13497091985.61","18435006021.0875","20918998549.2775","21452208403.3467","19386490829","17309900936.38","17608165999.12","44737123118.12","53188616509.29","","","","","","","","",
"Africa Western and Central","AFW","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326358386.5","1495978615","17300349784","12670999806","30463029879","41894421449","51456380174","68937892658","92906282322","137367000000","149494000000","162085000000","170041000000","165995000000","202397000000","228895697526","176561786757","209778948579","246820082710","723396488217.71","591666630074.87","1790469128790.1","1541336292482.19","1788670226056.1","1864925820584.99","1790469128790.1","",
"Albania","ALB","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18850000000","15948958000","18926363000","35385497000","","","","64835600000","76255180000","89353960000","","","","","","","175055100000","173505580000","166375460000","195997780000","200012910000","208378160000","218755890000","226077000000","220257210000","208303130000","251058420000","282781530000","294574330000","326902890000","",
"Andorra","AND","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191680100.06","196756909.23","158827948.769991","178238250.429994","218341185.139999","229441153.68","253392405.919994","",
"Arab World","ARB","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872000000","2990000000","3481000000","","","","","","","","","","","","4133984906.74","4999707821.9","5173170943","5108759558.71","630843985.2","443995150.43","888141856.96","891655037.16","14879825762","8739906408.6","8148653348.98","10672737947.15","11828492783.5002","13124045083.06","",
"Argentina","ARG","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1572200000","5557700000","8344800000","12098700000","12779200000","13203700000","13931400000","16227200000","17185200000","16728900000","17674300000","16224000000","16481800000","22164550546.9","30264211941.64","36184400000","44376700000","54722400000","69210800000","76968800000","101267600000","130577600000","165330200000","210696000000","282293400000","369418100000","478910200000","624789300000","842173604433.2","1164966357985.55","1460510726642.59","2529933482987.45","4328838025080.17","10267587096851.2","31335543692253.9","",
